person_id, female, race, evntgoal, frqdates, frqsocl, sdbefore, height, weight, hairclr, plysprt, wtchsprt, bdybuild, dining, museum, art, hiking, videogam, dancing, reading, tv, theatre, movies, concerts, music, shopping, yoga, samerace, ss1atrct, ss1sincr, ss1intel, ss1funny, ss1ambit, ss1wlthy, ss1court, os1atrct, os1sincr, os1intel, os1funny, os1ambit, os1wlthy, os1court, sd1atrct, sd1sincr, sd1intel, sd1funny, sd1ambit, sd1shrd, sd1wlthy, sd1court, od1atrct, od1sincr, od1intel, od1funny, od1ambit, od1shrd, od1wlthy, od1court, fd1atrct, fd1sincr, fd1intel, fd1funny, fd1ambit, fd1shrd, fd1wlthy, fd1court, Subject, UnderStat, ForeignBorn
101,-0.938,-0.715,-0.338,0.45,-0.988,-0.489,0.605,0.366,1.942,1.26,1.39,0.702,0.659,0.618,0.69,0.657,-0.223,1.574,0.779,-0.178,0.639,0.771,1.679,1.198,-1.395,-1.599,2.143,2.236,1.09,1.407,1.961,-0.143,0.998,1.313,2.145,1.071,1.249,1.75,-0.324,0.87,1.262,0.269,0.032,0.2,-0.404,-1.328,0.967,-0.824,0.156,-1.264,0.7,1.135,1.678,-1.228,0.258,-0.984,1.331,-0.027,1.011,0.31,-0.285,-1.221,0.963,-1.281,0.591,-0.997,0.526,-0.569
102,-0.938,-0.715,-0.338,0.45,-0.166,-0.489,2.042,0.923,-0.189,0.156,-0.746,0.279,0.007,0.104,0.227,0.657,0.567,-1.248,0.779,-0.178,-0.271,-0.344,-1.071,-0.297,-0.98,1.077,-0.92,-0.074,0.331,-0.333,-0.305,0.394,0.145,0.736,0.019,0.43,0.416,-0.224,0.746,-0.009,0.723,-0.145,0.72,0.2,0.342,0.51,-0.449,-0.824,-0.71,0.156,-0.061,-0.257,0.984,-0.393,-0.356,0.11,-0.652,0.296,0.152,-0.49,1.076,-0.385,0.27,-1.281,-0.38,1.636,-1.043,-0.569
103,-0.938,-0.715,0.338,0.45,0.656,3.958,1.467,2.039,1.942,-0.211,0.322,1.548,-0.645,-1.954,-2.091,0.175,-0.223,-1.248,-2.477,-0.178,-1.635,-0.344,0.029,0.7,-0.565,-1.153,1.122,-0.074,0.331,0.537,-0.305,0.394,-0.708,1.313,0.019,1.071,1.249,0.434,0.746,-1.329,1.262,0.683,-0.657,0.2,-0.404,-1.328,2.383,-0.824,-1.576,0.156,-0.061,-0.257,2.372,2.113,-1.584,-0.984,-1.644,1.266,0.152,-0.49,1.076,-1.221,-0.423,-1.281,-1.351,-0.471,-1.043,-0.569
104,-0.938,-0.715,-0.338,-0.305,0.656,-0.489,1.18,-0.378,-0.189,-0.579,0.678,-0.99,0.007,-0.925,0.69,-0.308,0.172,-1.652,-1.391,0.66,-0.726,-0.902,0.579,1.198,-1.395,1.523,-0.92,1.466,-0.428,-0.333,1.206,0.394,1.424,-0.417,1.436,-0.211,-0.416,1.092,0.211,1.31,-0.356,-0.145,-1.346,1.672,2.581,-1.328,0.259,-0.824,-1.576,-0.554,1.462,-0.257,0.984,0.442,-0.356,-0.984,0.339,-0.027,-1.567,1.11,1.076,-1.221,0.963,-0.518,-0.38,-0.997,-1.827,-0.569
105,-0.938,-0.075,-0.338,0.45,0.656,-0.489,1.754,0.923,-0.899,0.524,-0.034,1.125,-0.645,0.618,0.69,0.175,0.567,1.171,-0.306,-0.598,0.639,0.214,0.029,-1.293,-0.15,-0.707,-0.92,-0.074,0.331,-0.333,0.45,0.931,0.572,0.736,0.019,1.071,-0.416,-0.224,-0.324,0.43,1.262,0.683,0.72,0.2,-1.897,0.51,-0.449,-0.824,0.156,-1.264,2.984,1.135,-1.791,-1.228,-0.356,1.204,0.339,1.266,0.152,-2.09,-0.285,-1.221,2.349,-1.281,-1.351,-0.997,-1.827,-0.569
106,-0.938,0.565,0.338,-0.305,-0.166,-0.489,0.031,-0.192,-0.899,0.892,1.745,0.702,-1.297,-2.468,-2.091,-0.791,0.962,-1.652,-1.391,0.66,-1.635,-0.344,-1.621,-0.297,-1.395,0.185,-0.92,-0.074,-0.428,1.407,-1.061,-2.826,-0.708,-2.147,0.019,0.43,1.249,-1.54,-2.464,-0.889,-1.974,1.511,1.409,0.2,-1.15,-0.776,-1.298,-0.824,-1.057,-0.909,-0.822,-0.952,-1.097,-0.393,0.258,2.846,1.331,1.912,-0.708,-1.29,-0.965,-0.385,-0.423,-0.518,-0.38,-0.997,-1.043,-0.569
107,-0.938,1.844,-1.014,0.45,-0.988,-0.489,0.605,0.18,-0.899,-0.579,0.678,-0.567,0.007,-0.925,0.227,-0.308,-1.012,-0.845,0.779,0.241,-1.18,0.214,0.579,1.198,0.68,0.631,0.782,-2.383,-0.428,-0.333,-0.305,-0.679,-0.281,0.159,-2.107,-0.852,-1.249,-0.882,0.211,-0.889,0.184,-0.145,-0.657,0.2,1.088,0.51,-0.449,1.887,0.156,1.576,-0.822,-0.952,-1.097,-0.393,-0.97,1.204,-0.652,1.912,-0.708,-1.29,-0.965,-0.385,-1.115,0.244,-0.38,1.636,1.31,1.757
108,-0.938,1.844,0.338,1.206,0.656,-0.489,-0.257,0.142,-0.899,0.156,1.034,1.125,0.007,-0.925,-1.627,0.657,-0.223,0.365,0.237,-1.017,-1.635,0.214,-2.721,-2.788,-0.565,0.631,-0.92,-0.074,1.09,1.407,-1.817,0.931,0.145,-0.417,0.019,1.071,1.249,-0.882,0.746,0.87,-0.895,2.339,-0.657,-1.273,-1.15,-0.409,-1.157,0.531,0.156,0.866,-0.061,-0.952,-1.097,-0.393,-0.97,0.657,1.331,0.619,0.152,-1.29,-0.965,-0.385,-1.115,1.006,1.561,-0.997,1.31,1.757
110,-0.938,-0.715,0.338,-1.817,-0.988,-0.489,0.892,0.552,-0.189,0.156,0.322,0.279,-0.645,-1.439,-1.164,0.175,0.567,0.768,-0.306,-0.178,0.184,-0.902,-1.071,-0.297,0.265,0.185,0.442,0.696,0.331,0.537,0.45,0.931,1.424,0.736,0.727,0.43,0.416,0.434,0.211,0.87,0.723,0.269,1.409,0.936,-1.15,-0.409,-0.449,-0.824,-0.71,-0.199,2.223,1.831,-1.097,-0.393,-0.356,-0.984,-0.652,-0.027,0.152,-2.09,2.436,-1.221,0.963,0.244,-1.351,-0.471,1.31,1.757
111,-0.938,0.565,-1.014,0.45,-0.166,0.994,-0.257,-0.378,-0.899,-0.579,-0.746,-1.413,-0.645,0.618,0.69,-1.273,-0.223,0.768,0.779,1.079,0.639,0.771,1.129,0.7,-1.395,-1.153,-0.92,-3.153,-1.187,-3.813,-1.817,-2.826,-1.56,-0.417,-2.816,-0.852,-3.748,-1.54,-2.999,-1.769,-0.356,-0.145,0.72,0.2,1.088,-1.328,-0.449,-0.824,0.156,-0.554,-0.061,-1.648,0.984,0.442,-0.356,0.11,2.322,0.619,1.87,-0.49,-1.645,-1.221,0.963,-1.281,0.591,0.056,0.526,-0.569
112,-0.938,0.565,-0.338,0.45,0.656,0.994,0.031,-0.564,-0.189,-1.315,-0.034,-1.413,-3.254,-0.41,-0.237,-0.791,0.962,-2.055,-3.562,0.66,-2.09,-3.133,-1.621,-2.788,-0.15,-0.261,1.803,-0.074,0.331,-0.333,1.206,-0.143,-0.281,0.159,-1.398,-2.134,1.249,1.75,-0.324,0.43,0.184,-0.145,2.098,0.2,-1.15,-1.328,0.967,-0.824,-0.71,-1.264,-1.584,-1.648,-1.791,3.783,-0.356,4.487,-1.644,1.266,0.152,-0.49,-1.645,-1.221,-0.423,0.244,0.591,-0.471,1.31,1.757
