Date(Sub-Obj),Subject, Object, Talked First, Turn Dur, Turn Dur SD, F0 Min, F0 Min SD, F0 Max, F0 Max SD, F0 Mean, F0 Mean SD, F0 SD, F0 SD SD, Pitch Range, Pitch Range SD, RMS Min, RMS Min SD, RMS Max, RMS Max SD, RMS Mean, RMS Mean SD
111-128,111,128,0,0.742,0.601,-1.673,-0.929,-0.692,-1.129,-1.014,-1.429,-0.623,-1.577,-0.303,-1.218,-0.56,0.453,0.629,-0.219,-0.065,-0.026
111-124,111,124,0,-0.898,-0.755,-1.37,-0.692,-1.08,-1.125,-1.146,-1.486,-1.062,-1.412,-0.863,-1.158,-0.005,-0.38,0.372,0.27,0.243,0.383
111-125,111,125,0,0.719,1.624,-1.412,-1.005,-0.707,-1.228,-0.865,-1.555,-0.501,-0.628,-0.402,-1.415,-0.433,-0.05,0.286,0.309,-0.165,0.328
111-126,111,126,0,2.294,3.328,-1.613,-0.671,-0.724,-1.273,-1.138,-0.53,-0.221,-1.043,-0.36,-1.263,-0.849,0.739,0.106,0.351,-0.837,0.097
111-121,111,121,0,0.256,-0.895,-1.659,-1.365,-0.72,-1.484,-1.003,-1.033,-0.743,-2.069,-0.34,-1.896,-0.709,-1.168,0.671,-0.187,-0.056,-0.152
111-122,111,122,0,1.737,2.92,-1.303,-0.1,-0.802,-0.695,-0.979,-0.453,-0.789,-0.829,-0.552,-0.449,-0.953,0.022,0.231,0.405,-0.382,0.26
111-123,111,123,0,0.448,0.578,-1.235,0.225,-0.825,-0.993,-1.063,-1.661,-0.814,-1.312,-0.6,-0.69,-0.536,1.705,0.998,-0.39,0.416,-0.033
220-224,220,224,0,-0.578,1.465,-0.386,-0.182,-1.173,-0.505,-0.918,-0.391,-0.52,0.91,-1.285,-0.333,-0.594,-0.929,-0.525,1.565,-0.534,1.666
220-221,220,221,0,1.179,0.797,-0.987,-0.229,-0.849,-0.765,-1.301,-0.917,-0.979,-0.945,-0.706,-0.47,-0.967,0.509,-0.663,2.323,-1.075,1.683
220-222,220,222,0,-0.589,-0.754,-0.682,1.05,-0.949,-1.359,-1.002,-0.253,-0.727,-1.295,-0.922,-1.195,-0.869,0.063,-0.318,1.7,-0.561,1.208
215-236,215,236,0,0.178,-0.023,-1.524,-1.411,-0.906,-0.413,-1.274,-0.949,-0.652,-0.648,-0.606,-0.582,-0.52,-0.695,0.24,0.121,-0.592,-0.182
117-128,117,128,0,1.776,2.862,-1.428,-0.242,-0.852,-0.931,-1.366,0.089,0.004,-0.426,-0.571,-0.883,-0.479,0.747,0.711,-0.079,0.323,0.482
208-240,208,240,0,0.502,-0.383,-1.414,-0.907,-0.816,-1.132,-0.983,-0.625,-0.961,-0.891,-0.533,-1.304,-0.745,-1.03,0.821,-0.174,-0.289,-0.274
117-127,117,127,0,-1.014,-0.881,-1.293,-1.246,-1.432,-0.075,-1.769,-0.73,-0.855,0.6,-1.309,-0.469,0.033,0.495,0.665,-0.048,0.731,0.384
117-124,117,124,0,0.754,1.893,-1.278,-1.195,-1.582,-0.068,-1.739,-0.687,-0.776,0.195,-1.493,-0.269,0.023,-0.741,0.26,0.789,0.094,0.933
214-222,214,222,0,-0.813,-1.168,-0.151,0.032,-0.793,-1.414,-0.483,-1.108,-0.92,-1.312,-0.902,-1.286,-0.302,0.828,1.156,-0.746,0.483,0.084
117-121,117,121,0,0.946,-0.407,-1.529,-1.444,-0.847,-1.002,-1.561,-0.688,-0.169,-0.659,-0.534,-1.163,-0.494,-0.396,1.079,-0.691,0.548,0.116
110-130,110,130,0,0.724,0.398,-1.512,-1.181,-0.749,-1.085,-1.155,-1.682,-0.232,-1.34,-0.421,-1.328,-1.072,-0.238,-0.513,0.596,-1.276,0.372
